company_id,person_id,company_ticker,company_name,last_name,first_name,middle_name,person_age,person_gender,is_ceo,is_chairman,is_private_firm,company_sector,company_industry,company_cfscore,total_donations,num_contributions,self_funded,total_dem_donations,total_rep_donations,percent_to_dem_donations,total_donations_2002,total_donations_2004,total_donations_2006,total_donations_2008,total_donations_2010,total_donations_2012,donations_to_incumbents,donations_to_open_seats,donations_to_challengers,donations_to_winners,donations_to_losers
3750291420,4074181,AAMRQ,Amr Corp ,Ibarguen,alberto,,68.0,M,0,0,0,Services,95,-1.542100805,2750.0,4.0,0.0,2350.0,0.0,1.0,0.0,0.0,0.0,2300.0,50.0,100.0,0.0,2350.0,300.0,0.0,350.0
2323656582,132129,AAMRQ,Amr Corp,Bennett,stephen,M,57.0,M,0,0,0,Services,95,-0.363434415,172600.0,93.0,0.0,61900.0,47550.0,0.566,15300.0,18650.0,62050.0,23600.0,13500.0,21500.0,58350.0,3450.0,3400.0,41550.0,9250.0
2386692544,182939,AAP,Advance Auto Parts,jackson,darren,r,47.0,M,1,0,0,Services,83,0.966698693,4560.0,1.0,0.0,0.0,1000.0,0.0,0.0,120.0,2920.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4636045112,1084805,AAP,Advance Auto Parts,saladrigas,carlos,a,63.0,M,0,1,0,Services,83,-0.245222492,603950.0,171.0,0.0,260750.0,143500.0,0.645,39000.0,83250.0,47400.0,157450.0,80300.0,138500.0,104300.0,65350.0,57100.0,57900.0,39200.0
2710880119,141374,AAP,Advance Auto Parts,wade,jimmie,l,57.0,M,0,0,0,Services,83,0.955153333,6550.0,9.0,0.0,0.0,3050.0,0.0,0.0,2000.0,0.0,300.0,500.0,3750.0,2750.0,0.0,2000.0,750.0,0.0
4636045564,9979475,AAP,Advance Auto Parts,brouillard,john,c,63.0,M,0,1,0,Services,83,0.862998569,21975.0,287.0,0.0,3625.0,8455.0,0.3,2225.0,2385.0,2445.0,2540.0,,,5290.0,1140.0,2300.0,4910.0,1415.0
5301888979,565914,AAP,Advance Auto Parts,ray,gilbert,t,67.0,M,0,0,0,Services,83,-0.919676644,10860.0,16.0,0.0,9250.0,0.0,1.0,0.0,500.0,1500.0,1000.0,0.0,0.0,3250.0,2000.0,3000.0,1750.0,500.0
4198399792,13154863,AAP,Advance Auto Parts,oglesby,william,s,52.0,M,0,0,0,Services,83,0.968636902,157350.0,49.0,0.0,8300.0,53050.0,0.135,7000.0,2000.0,250.0,18700.0,24400.0,103000.0,24200.0,9300.0,46500.0,21100.0,18600.0
2922986459,13396973,AAP,Advance Auto Parts,raines,j,paul,47.0,M,0,0,0,Services,83,0.475516352,3500.0,1.0,0.0,0.0,500.0,0.0,0.0,500.0,2500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4980349145,552205,AAP,Advance Auto Parts,bergstrom,john,f,65.0,M,0,0,0,Services,83,0.529767743,92212.19,173.0,0.0,22250.0,46987.19,0.321,11332.19,3050.0,16000.0,16250.0,13200.0,14300.0,4720.0,5450.0,2950.0,350.0,6700.0
52425743344,1470322,AAP,Advance Auto Parts,dias,fiona,p,46.0,F,0,0,0,Services,83,,2000.0,1.0,0.0,0.0,0.0,,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
53035016054,82843051,AAP,Advance Auto Parts,frei,frances,x,48.0,F,0,0,0,Services,83,-1.079280753,7050.0,16.0,0.0,6550.0,0.0,1.0,0.0,4100.0,0.0,2350.0,100.0,500.0,2100.0,2450.0,0.0,2100.0,100.0
4028281593,234085,AAPL,Apple Inc,levinson,arthur,d,62.0,M,0,1,0,Technology,22,-0.920232834,183941.45,140.0,1.0,69695.0,2000.0,0.972,20639.57,24150.84,10761.58,32538.84,6118.62,21185.0,20950.0,18110.0,17645.0,15660.0,7805.0
2410716163,169600,AAPL,Apple Inc,cook,timothy,d,51.0,M,1,0,0,Technology,22,-1.561610034,2300.0,2.0,0.0,2300.0,0.0,1.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0
4199401905,132127,AAPL,Apple Inc,campbell,william,v,71.0,M,0,0,0,Technology,22,-0.401499618,218364.0,51.0,0.0,90364.0,38700.0,0.7,2000.0,4000.0,32300.0,53264.0,47100.0,70700.0,58300.0,6132.0,3332.0,57076.0,8388.0
53202120218,253136,AAPL,Apple Inc,jung,andrea,,53.0,F,0,0,0,Technology,22,-1.042165433,103950.0,8.0,0.0,92100.0,0.0,1.0,1500.0,2000.0,0.0,90100.0,0.0,1000.0,0.0,34100.0,1000.0,2000.0,0.0
2611826423,285767,AAPL,Apple Inc,sugar,ronald,d,63.0,M,0,0,0,Technology,22,-0.127294163,94524.7,37.0,0.0,26600.0,12750.0,0.676,1000.0,9000.0,31638.55,31991.45,16544.7,0.0,28750.0,5600.0,0.0,25850.0,4000.0
5171790064,274269,AAPL,Apple Inc,drexler,millard,s,67.0,M,0,0,0,Technology,22,-0.911205842,617550.0,211.0,0.0,473800.0,5000.0,0.99,37250.0,75000.0,61700.0,103200.0,109800.0,74600.0,93850.0,40700.0,24300.0,103800.0,19400.0
3159114517,1341924,AAPL,Apple Inc,gore,albert,arnold,64.0,M,0,0,0,Technology,22,-0.76815941,85127.5,46.0,0.0,155047.5,1000.0,0.994,0.0,4500.0,11994.5,12665.0,23440.0,15310.0,11550.0,8518.0,14915.0,19150.0,9615.0
2685865683,191572,AAPL,Apple Inc,iger,robert,a,61.0,M,0,0,0,Technology,22,-0.65474749,511660.0,131.0,0.0,383600.0,22300.0,0.945,24000.0,41500.0,52300.0,76360.0,127700.0,161800.0,178700.0,10000.0,1000.0,114300.0,11300.0
